x,y
421.2106077,5560.364046
421.5046619,5228.252219
394.0424567,5255.78303
406.0426356,5969.146412
346.5771995,9788.62892
430.2749754,1810.316224
332.4624249,13967.59078
384.4985376,6053.162089
334.1964754,10472.39333
416.6206471,9393.096886
430.7113643,2537.692718
339.1602069,10554.33123
340.1177179,9624.329305
425.075864,6020.240265
333.6289448,8740.409879
390.4759206,5977.021878
387.9212068,6809.110632
312.2164552,11104.96941
355.6477173,10898.27809
392.8637932,7536.251292
399.0692383,5675.362978
393.6655242,3563.570073
312.6885092,12471.9144
314.5883695,11838.72752
442.6608379,2802.875838
362.2433296,8340.814215
304.8331204,12401.83867
357.4748053,8362.923006
390.0561994,5095.367591
341.1283306,12399.48473
405.0546159,5436.818921
367.6966415,9217.109369
317.6369465,7517.925089
346.9792377,9249.302493
377.7677758,9124.732587
354.7749667,7429.921455
441.7266865,2131.26667
375.2982815,8168.295078
314.129302,9431.741916
319.7648807,10010.43822
410.0801222,5106.403165
349.3013587,9299.046087
342.2334183,9829.370154
417.6681081,3581.252524
329.2345511,13267.11981
319.8104545,11286.72404
368.5920619,9187.226777
396.5965356,8309.609054
325.5922208,13389.81957
330.200709,10239.32904
379.3227687,9790.646761
330.1644428,8249.625118
374.8057348,6589.920492
421.9717615,4018.295534
380.0009029,6404.969318
363.9526979,7469.560631
328.1732956,10935.82692
446.9652376,2415.473676
414.7463171,6165.476327
307.0655688,9719.388418
411.3532119,4596.996394
343.53169,9242.043061
446.6122379,3179.233932
352.6636581,8360.053471
305.4747457,10841.31834
371.4272953,8558.723308
367.3919917,10072.09332
417.7995408,5250.69789
433.9437455,2941.301846
381.4659628,7326.34269
421.9774231,3830.59612
344.9851343,9995.933206
368.2194293,8987.146635
354.6788882,10176.00302
400.2278607,5372.767996
405.2555394,5483.194874
432.3447435,5305.808829
304.9879379,10500.06685
375.3779076,6747.093421
417.0497296,5537.690737
424.6834247,3097.699635
364.8606481,5441.751122
320.5493905,11660.76829
304.3778073,14900.55381
433.5926482,3660.14516
440.9565711,2514.706591
367.6855707,8684.986724
317.1411102,11584.63063
365.9993262,8892.129449
428.1225568,4569.916013
422.0148508,5109.210417
320.8115524,10849.60619
349.6845894,5643.463079
412.7237775,6188.75805
316.0095112,9439.922804
332.5764941,8964.383639
413.6666826,5093.353082
323.5585512,12976.4308
326.0086208,9707.056583
422.6973833,5939.687196
426.1904153,4704.20599
399.6955496,6858.12057
312.2030043,11824.96782
349.2372729,11369.65544
317.0720936,13346.79953
324.3848066,7427.535678
382.6676512,6033.604734
373.4486458,11417.66079
369.5943827,6860.620803
321.1812573,10510.84752
349.9082198,10308.45734
364.0117156,8532.974975
378.4888611,5325.188812
333.1779912,8158.931027
332.0324693,10567.04141
307.5941798,14300.8337
409.0097678,4740.507205
330.0845633,11389.00588
323.6776367,10185.61615
445.7078024,1327.19823
430.9770476,5380.658935
303.7922624,12104.86098
397.0708693,5946.094571
386.069751,5676.885538
434.4927985,3515.32789
426.20485,4717.046937
305.8837639,11070.64354
411.9585089,8697.11256
334.1844423,8831.375117
330.6674076,11572.31028
307.3491897,11138.38992
418.737029,2201.066012
356.8136101,8662.052258
307.9105223,12248.59558
371.2195763,6144.435438
368.8357601,6184.115648
333.8607332,9360.598596
432.6792546,6647.265608
439.0041711,4779.359939
419.4015709,3048.243236
376.8703001,5133.94325
425.7600634,6938.173261
396.4635675,7191.469481
438.4414769,3185.839017
399.9831252,7685.437097
417.8486223,3324.36604
383.090421,6084.432024
345.9934347,9080.21197
375.4346418,6082.886109
399.3968538,4503.210755
